datetime,open,high,low,close,volume
2022-01-31 10:00:00,26800,26955,26790,26915,103264
2022-01-31 11:00:00,26915,27015,26880,26985,54729
2022-01-31 12:00:00,26985,27120,26980,27105,74651
2022-01-31 13:00:00,27100,27105,27015,27030,50164
2022-01-31 14:00:00,27025,27060,26945,27000,80806
2022-01-31 15:00:00,27005,27050,26955,27050,29554
2022-01-31 16:00:00,26660,26695,26625,26660,19244
2022-01-31 17:00:00,26665,26665,26480,26555,86974
2022-01-31 18:00:00,26555,26575,26440,26480,56926
2022-01-31 19:00:00,26480,26485,26415,26445,48935
2022-01-31 20:00:00,26445,26455,26315,26365,62807
2022-01-31 21:00:00,26365,26385,26225,26285,68539
2022-01-31 22:00:00,26285,26485,26255,26420,97602
2022-01-31 23:00:00,26420,26505,26285,26290,109826
2022-02-01 00:00:00,27015,27090,26970,27015,68269
2022-02-01 01:00:00,27015,27100,26925,27100,38809
2022-02-01 02:00:00,27100,27145,27060,27130,24402
2022-02-01 03:00:00,27130,27150,27090,27120,18358
2022-02-01 04:00:00,27120,27185,27095,27170,17166
2022-02-01 05:00:00,27175,27310,27115,27310,26793
2022-02-01 06:00:00,27305,27305,27305,27305,1459
2022-02-01 08:00:00,27285,27290,27245,27285,21828
2022-02-01 09:00:00,27285,27375,27205,27355,135121
2022-02-01 10:00:00,27355,27395,27075,27135,124556
2022-02-01 11:00:00,27135,27195,27105,27140,53418
2022-02-01 12:00:00,27140,27185,27075,27090,52961
2022-02-01 13:00:00,27085,27105,26995,27075,63985
2022-02-01 14:00:00,27080,27080,27010,27065,42871
2022-02-01 15:00:00,27065,27085,27035,27035,15567
2022-02-01 16:00:00,26970,26995,26960,26980,14862
2022-02-01 17:00:00,26980,27025,26905,27010,47349
2022-02-01 18:00:00,27005,27035,26940,26975,28936
2022-02-01 19:00:00,26975,26980,26895,26930,29529
2022-02-01 20:00:00,26925,26935,26860,26900,36678
2022-02-01 21:00:00,26900,26920,26815,26920,41272
2022-02-01 22:00:00,26920,26950,26870,26920,35542
2022-02-01 23:00:00,26920,27020,26880,27015,54165
2022-02-02 00:00:00,27100,27100,26965,27080,77793
2022-02-02 01:00:00,27075,27140,27060,27125,32506
2022-02-02 02:00:00,27125,27125,27000,27085,20715
2022-02-02 03:00:00,27080,27105,27050,27060,12348
2022-02-02 04:00:00,27060,27080,27015,27050,10320
2022-02-02 05:00:00,27050,27170,27045,27170,18227
2022-02-02 06:00:00,27160,27160,27160,27160,1546
2022-02-02 08:00:00,27300,27300,27255,27285,23323
2022-02-02 09:00:00,27280,27465,27275,27415,132683
2022-02-02 10:00:00,27415,27520,27395,27495,74620
2022-02-02 11:00:00,27490,27535,27410,27450,50931
2022-02-02 12:00:00,27450,27520,27425,27475,40133
2022-02-02 13:00:00,27475,27535,27455,27520,35061
2022-02-02 14:00:00,27525,27545,27485,27505,49883
2022-02-02 15:00:00,27505,27540,27495,27540,23297
2022-02-02 16:00:00,27080,27090,27050,27075,13635
2022-02-02 17:00:00,27075,27190,27060,27145,48338
2022-02-02 18:00:00,27140,27150,27000,27045,47490
2022-02-02 19:00:00,27045,27105,27040,27090,27189
2022-02-02 20:00:00,27090,27150,27085,27100,24726
2022-02-02 21:00:00,27100,27145,27085,27120,17085
2022-02-02 22:00:00,27120,27165,27115,27155,19183
2022-02-02 23:00:00,27155,27165,27050,27095,47173
2022-02-03 00:00:00,27405,27485,27355,27415,58526
2022-02-03 01:00:00,27415,27425,27310,27385,38850
2022-02-03 02:00:00,27380,27430,27360,27425,17068
2022-02-03 03:00:00,27425,27430,27365,27405,10409
2022-02-03 04:00:00,27405,27440,27385,27415,11797
2022-02-03 05:00:00,27420,27480,27405,27450,14169
2022-02-03 06:00:00,27445,27445,27445,27445,1644
2022-02-03 08:00:00,27260,27270,27185,27205,33826
2022-02-03 09:00:00,27210,27300,27155,27230,116957
2022-02-03 10:00:00,27230,27295,27165,27200,64111
2022-02-03 11:00:00,27200,27240,27145,27235,39810
2022-02-03 12:00:00,27230,27265,27195,27235,31560
2022-02-03 13:00:00,27235,27265,27205,27225,28721
2022-02-03 14:00:00,27225,27235,27190,27215,41325
2022-02-03 15:00:00,27220,27230,27180,27200,19577
2022-02-03 16:00:00,27490,27505,27455,27465,11897
2022-02-03 17:00:00,27465,27480,27430,27450,25668
2022-02-03 18:00:00,27450,27565,27440,27550,28199
2022-02-03 19:00:00,27555,27555,27495,27500,17576
2022-02-03 20:00:00,27500,27505,27480,27490,11482
2022-02-03 21:00:00,27495,27520,27475,27510,13578
2022-02-03 22:00:00,27510,27515,27470,27470,14902
2022-02-03 23:00:00,27465,27490,27375,27400,54796
2022-02-04 00:00:00,27115,27255,27100,27225,64458
2022-02-04 01:00:00,27230,27270,27135,27140,39961
2022-02-04 02:00:00,27135,27160,27095,27120,31216
2022-02-04 03:00:00,27120,27160,27080,27110,19799
2022-02-04 04:00:00,27110,27135,26995,27015,24866
2022-02-04 05:00:00,27015,27075,26955,26965,19606
2022-02-04 06:00:00,26945,26945,26945,26945,1508
2022-02-04 08:00:00,27080,27145,27080,27120,28515
2022-02-04 09:00:00,27120,27320,27105,27220,155896
2022-02-04 10:00:00,27220,27245,27055,27165,89513
2022-02-04 11:00:00,27165,27240,27160,27220,39655
2022-02-04 12:00:00,27225,27280,27220,27260,35372
2022-02-04 13:00:00,27260,27400,27260,27370,58587
2022-02-04 14:00:00,27370,27435,27365,27405,65129
2022-02-04 15:00:00,27405,27410,27370,27410,21079
2022-02-04 16:00:00,27180,27240,27175,27240,12876
2022-02-04 17:00:00,27235,27260,27200,27260,27825
2022-02-04 18:00:00,27260,27275,27150,27165,26128
2022-02-04 19:00:00,27165,27210,27150,27190,15747
2022-02-04 20:00:00,27185,27220,27170,27215,15279
2022-02-04 21:00:00,27215,27260,27185,27245,23635
2022-02-04 22:00:00,27245,27245,27120,27120,33892
2022-02-04 23:00:00,27120,27180,27090,27115,86517
2022-02-07 00:00:00,27270,27350,27155,27180,87483
2022-02-07 01:00:00,27180,27285,27140,27245,48386
2022-02-07 02:00:00,27250,27305,27225,27300,21775
2022-02-07 03:00:00,27295,27380,27295,27370,23871
2022-02-07 04:00:00,27370,27375,27305,27365,14734
2022-02-07 05:00:00,27365,27440,27335,27350,17249
2022-02-07 06:00:00,27290,27290,27290,27290,2096
2022-02-07 08:00:00,27275,27320,27230,27270,23859
2022-02-07 09:00:00,27265,27300,27065,27175,124061
2022-02-07 10:00:00,27175,27230,27130,27150,66659
2022-02-07 11:00:00,27150,27210,27110,27130,39479
2022-02-07 12:00:00,27135,27195,27130,27180,23589
2022-02-07 13:00:00,27175,27240,27170,27215,28140
2022-02-07 14:00:00,27215,27225,27190,27220,32220
2022-02-07 15:00:00,27215,27250,27210,27225,19504
2022-02-07 16:00:00,27390,27405,27355,27380,15214
2022-02-07 17:00:00,27380,27420,27310,27340,46779
2022-02-07 18:00:00,27340,27360,27300,27300,30233
2022-02-07 19:00:00,27300,27310,27215,27240,39481
2022-02-07 20:00:00,27235,27240,27155,27155,51805
2022-02-07 21:00:00,27155,27265,27155,27245,27310
2022-02-07 22:00:00,27245,27255,27130,27165,57448
2022-02-07 23:00:00,27165,27295,27125,27270,87720
2022-02-08 00:00:00,27275,27305,27225,27285,38522
2022-02-08 01:00:00,27280,27295,27185,27225,21841
2022-02-08 02:00:00,27220,27235,27185,27225,11493
2022-02-08 03:00:00,27225,27285,27215,27280,12020
2022-02-08 04:00:00,27280,27325,27265,27315,18375
2022-02-08 05:00:00,27315,27350,27190,27190,16883
2022-02-08 06:00:00,27200,27200,27200,27200,1587
2022-02-08 08:00:00,27230,27285,27225,27275,17171
2022-02-08 09:00:00,27275,27435,27275,27415,107761
2022-02-08 10:00:00,27415,27450,27320,27345,65140
2022-02-08 11:00:00,27350,27375,27320,27370,24637
2022-02-08 12:00:00,27370,27370,27285,27300,33088
2022-02-08 13:00:00,27300,27335,27280,27325,25590
2022-02-08 14:00:00,27325,27325,27260,27275,42223
2022-02-08 15:00:00,27275,27295,27260,27280,15346
2022-02-08 16:00:00,27265,27280,27225,27250,15252
2022-02-08 17:00:00,27250,27265,27140,27210,54912
2022-02-08 18:00:00,27210,27235,27125,27160,39901
2022-02-08 19:00:00,27160,27190,27145,27150,25844
2022-02-08 20:00:00,27150,27195,27135,27175,22015
2022-02-08 21:00:00,27180,27230,27180,27220,17035
2022-02-08 22:00:00,27215,27255,27205,27240,22339
2022-02-08 23:00:00,27240,27300,27220,27275,50399
2022-02-09 00:00:00,27235,27310,27190,27295,42441
2022-02-09 01:00:00,27295,27375,27295,27365,27473
2022-02-09 02:00:00,27370,27395,27340,27380,16810
2022-02-09 03:00:00,27380,27385,27350,27375,10731
2022-02-09 04:00:00,27375,27395,27305,27355,18981
2022-02-09 05:00:00,27350,27425,27325,27405,23975
2022-02-09 06:00:00,27400,27400,27400,27400,2033
2022-02-09 08:00:00,27440,27485,27425,27485,18490
2022-02-09 09:00:00,27485,27530,27385,27425,97753
2022-02-09 10:00:00,27425,27515,27415,27485,60312
2022-02-09 11:00:00,27485,27520,27465,27505,31757
2022-02-09 12:00:00,27505,27590,27500,27585,48597
2022-02-09 13:00:00,27580,27595,27535,27590,35339
2022-02-09 14:00:00,27595,27605,27570,27575,56958
2022-02-09 15:00:00,27570,27585,27550,27550,20602
2022-02-09 16:00:00,27270,27275,27240,27250,14308
2022-02-09 17:00:00,27250,27315,27225,27290,35342
2022-02-09 18:00:00,27290,27335,27280,27285,25979
2022-02-09 19:00:00,27285,27285,27245,27260,23908
2022-02-09 20:00:00,27260,27265,27205,27225,29461
2022-02-09 21:00:00,27225,27240,27195,27215,22859
